建设单位,项目名称,许可证日期,分类结果,所有制类型,营销优先级,判断依据,置信度,是否可营销,是否需要人工核验,排除原因,官方来源链接
未披露,年产20万吨风电核心零部件绿色智能铸造项目（降压站）,2025-07-11,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202507/t20250711_1807927.htm
南通海门云谷大数据有限公司,南通海门云谷大数据有限公司博浩海门算力中心,2025-07-02,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202507/t20250710_1807137.htm
南通科美自动化科技有限公司,南通科美自动化科技有限公司年产2500台机械手臂、200套智能机器人、400套AI视觉系统新建项目,2025-06-30,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202506/t20250630_1800177.htm
南通市金易焊接材料有限公司,南通市金易焊接材料有限公司年产1万吨微碳铬铁粉改建项目,2025-06-25,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202507/t20250703_1803297.htm
未披露,机器人自动清洗设备项目,2025-06-20,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202507/t20250707_1804388.htm
江苏金士领精密科技有限公司,江苏金士领精密科技有限公司年产3000台智能超纯水加热模组及1000吨高分子新材料新建项目,2025-06-18,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202506/t20250619_1793825.htm
南通中远海运重工装备有限公司,南通中远海运重工装备有限公司南通重工装备船舶海工供应链能力提升项目（变更）,2024-11-05,国有商业企业,state_owned_commercial,B,建设单位名称明确包含国有商业主体关键词“中远海运”,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202506/t20250603_1784294.htm
南通三鑫电子科技股份有限公司,南通三鑫电子科技股份有限公司车间四、五增建项目,2025-05-30,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202505/t20250530_1783611.htm
南通市乐洪油品有限公司,南通市乐洪油品有限公司新建加油站项目,2025-05-29,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202505/t20250529_1782781.htm
未披露,南通市海门证大中学扩建项目,2024-11-26,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241213_1693046.htm
海门市东方刺绣有限公司,海门市东方刺绣有限公司年产30万套高端床上用品新建项目,2025-05-20,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202505/t20250527_1780745.htm
南亚新材料科技（江苏）有限公司,南亚新材料科技（江苏）有限公司年产360万平方米IC载板材料智能工厂建设项目,2025-05-13,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202505/t20250520_1776929.htm
未披露,年产3000万套高端床上用品新建项目,2025-05-16,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202505/t20250516_1775233.htm
未披露,江苏南通向民110千伏输变电工程,2025-05-15,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202505/t20250515_1773939.htm
中天钢铁集团（南通）有限公司,中天钢铁集团（南通）有限公司高炉鼓风脱湿技改项目,2025-05-14,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202505/t20250514_1773226.htm
未披露,年产4500套低中高压发电机扩建项目,2025-05-06,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202505/t20250506_1768521.htm
未披露,R24025地块项目,2025-04-30,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250430_1767138.htm
未披露,R24026地块项目,2025-04-30,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250430_1767165.htm
未披露,海门经开产业园,2025-04-23,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250423_1762330.htm
南通胜嵘科技有限公司,南通胜嵘科技有限公司数字化智能工厂项目,2025-04-18,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250428_1765936.htm
招商局邮轮制造有限公司,招商局邮轮制造有限公司平面分段车间项目,2025-03-27,国有商业企业,state_owned_commercial,B,建设单位名称明确包含国有商业主体关键词“招商局”,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250417_1759336.htm
江苏兴南创芯材料技术有限公司,江苏兴南创芯材料技术有限公司年产60万平方米先进封装基板用高性能积层膜智能工厂建设项目,2025-04-07,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250414_1756711.htm
江苏万高药业股份有限公司,江苏万高药业股份有限公司创新生物医药基地项目,2025-04-03,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250408_1754053.htm
南通沐宇橙纺织品有限公司,南通沐宇橙纺织品有限公司沐宇橙年产50万套床上用品新建项目,2025-03-31,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250402_1750562.htm
江苏万高药业股份有限公司,江苏万高药业股份有限公司创新生物医药基地项目,2025-03-26,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202504/t20250401_1750367.htm
未披露,聚贤路西延工程,2025-03-31,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250331_1749387.htm
南通市海门正丰建设投资有限公司,北京路西延工程（富江路至浒通河）,2025-03-28,国有商业企业,state_owned_commercial,B,海门地方建设投资平台名称特征明确,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250331_1749226.htm
未披露,年产1000万件冻存管新建项目（变更）,2025-03-28,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250328_1748618.htm
未披露,海门区CR24012地块,2025-03-27,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250327_1747167.htm
南通市海门正丰建设投资有限公司,汇通路工程,2025-03-25,国有商业企业,state_owned_commercial,B,海门地方建设投资平台名称特征明确,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250326_1746192.htm
南通通泰智能制造有限公司,压缩机电机核心零部件研发制造项目,2025-03-14,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250320_1743024.htm
未披露,大兆瓦级海上风力发电机核心部件产业化项目（东地块）,2025-03-10,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250312_1737214.htm
未披露,南通市海门区粮食安全和应急储备库项目（二期）,2025-03-04,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250304_1732069.htm
南通莱迪讯电子科技有限公司,南通莱迪讯电子科技有限公司年产5万公里特种线缆电子加速器辐照加工新建项目,2025-03-03,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202503/t20250303_1731318.htm
未披露,上海航天精密机械研究所海门基地主大门门卫房建设项目,2025-02-13,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202502/t20250213_1722135.htm
南通市乐轻食品科技有限公司,南通市乐轻食品科技有限公司年产10万吨无菌冷灌饮料项目,2025-02-13,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202502/t20250213_1721916.htm
南通海门亦诺纺织科技有限公司,南通海门亦诺纺织科技有限公司年产50万套高档床上用品新建项目,2025-01-24,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202501/t20250124_1715590.htm
江苏祥拓新材料有限公司,江苏祥拓新材料有限公司年产高性能纤维丝2.8万吨、2万吨高性能纤维面料研发及制造项目,2025-01-22,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202501/t20250124_1715720.htm
未披露,年产3亿套紧固件制造新建项目,2025-01-15,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202501/t20250115_1709982.htm
江苏凡尔胜航天科技有限公司,江苏凡尔胜航天科技有限公司年产20000套智能雷达微系统高硅铝合金精密组件项目,2025-01-10,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202501/t20250110_1708043.htm
南通海能企业管理有限公司,南通海能企业管理有限公司介和智能智造项目,2025-01-07,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202501/t20250109_1706920.htm
南通市海门正中建设投资有限公司,珠江路工程,2025-01-03,国有商业企业,state_owned_commercial,B,海门地方建设投资平台名称特征明确,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202501/t20250106_1705071.htm
南通星海智能装备有限公司,南通星海智能装备有限公司年产400台高端数控机床和高端齿轮及箱体研发生产基地新建项目（一期）,2024-12-20,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241220_1696878.htm
江苏泰森食品有限公司,江苏泰森食品有限公司食堂扩建项目,2024-12-16,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241216_1693799.htm
江苏立成涂装科技有限公司,江苏立成涂装科技有限公司高端涂装装备新建项目,2024-12-16,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241216_1693666.htm
国家石泊天然气管同集团集团有限公司西气东输分公司,中俄东线天然气管道工程（永清-上海）海门区段长江盾构穿越工程,2024-12-09,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241216_1693411.htm
南通协鑫热电有限公司,南通协鑫热电有限公司热电联产项目（南通海门鑫源热电有限公司热电联产异地搬迁项目）,2024-12-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241212_1692206.htm
南通福斯特运动用品有限公司,福斯特年产200万套海洋业纺织用品建设项目,2024-12-02,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241205_1687650.htm
南通海门大岛国际大酒店有限公司,南通海门大岛国际大酒店有限公司年产100万套床上用品建设项目,2024-11-28,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241202_1685116.htm
南通中远海运重工装备有限公司,南通中远海运重工装备有限公司南通重工装备船舶海工供应链能力提升项目,2024-11-29,国有商业企业,state_owned_commercial,B,建设单位名称明确包含国有商业主体关键词“中远海运”,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241129_1684471.htm
未披露,年产3.5万高端智能控制阀项目,2024-11-25,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241217_1694050.htm
南通市海门海赋建设开发有限公司,城北新村东区,2024-11-15,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241121_1680119.htm
未披露,嘉禾苑安置小区二期,2024-11-21,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241121_1680184.htm
南通汇鑫房地产开发有限公司,汇泽苑安置小区项目,2024-11-20,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241121_1679729.htm
未披露,惠和年产100万套中高端家纺用品建设项目,2024-11-18,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241121_1679732.htm
南通胜嵘科技有限公司,南通胜嵘科技有限公司数字化智能工厂项目,2024-11-15,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241121_1679735.htm
未披露,年产20万吨风电核心零部件绿色智能铸造项目,2024-11-15,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202412/t20241217_1694043.htm
未披露,精盾同创年产600架高端智能无人机及20000枚机载应急救援弹新建项目,2024-11-06,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241106_1671676.htm
未披露,三星镇基督教堂易地重建项目,2024-11-04,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241121_1679767.htm
南通鑫宏电子科技有限公司,南通鑫宏电子科技有限公司年产50亿件标准件改扩建项目,2024-10-29,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202410/t20241029_1667065.htm
南通市海门天悦医疗健康管理有限公司,海门北部新城医学综合体（中医院新院）一期项目,2024-10-23,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202410/t20241025_1665855.htm
南通金三色印染有限公司,南通金三色印染有限公司年产30万套家纺用品，20万套家居服技改项目,2024-10-24,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202410/t20241024_1664878.htm
江苏天力锌业有限公司,江苏天力锌业有限公司厂房扩建项目（22#）,2024-10-21,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202411/t20241121_1679776.htm
未披露,海门区秀山路北、瑞江路西侧地块（CR23029),2024-10-15,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202410/t20241015_1659753.htm
南通连胜畅纺织品有限公司,南通连胜畅纺织品有限公司年产30万套床上用品新建项目,2024-10-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202410/t20241012_1657763.htm
未披露,年产150万平方米低辐射汽车镀膜节能玻璃智能化连线项目,2024-09-29,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240929_1653947.htm
中天钢铁集团(南通)有限公司,中天钢铁集团(南通)有限公司富氢喷吹项目,2024-09-25,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240926_1652731.htm
南通市德胜链传动有限公司,南通市德胜链传动有限公司城兴加油站改扩建项目,2024-09-26,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240926_1652890.htm
江苏凯帝卧室用品有限公司,江苏凯帝卧室用品有限公司年产80万套床上用品改建项目,2024-09-24,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240925_1652306.htm
未披露,南通市海门区崇秀三期,2024-09-19,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202410/t20241009_1655835.htm
未披露,年产3万公里石墨烯电缆、2万公里特种阻燃电缆、2万公里特种耐高温电缆新建项目（变更）,2024-09-11,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240911_1645908.htm
未披露,半导体制造设备生产及系统集成项目,2024-09-09,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240913_1647088.htm
南通市海门瑞达丰纺织品有限公司,南通市海门瑞达丰纺织品有限公司年产40万套家纺用品项目,2024-09-03,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240919_1648873.htm
海门市农业机械有限公司,海门市农业机械有限公司智能化农机推广服务中心新建项目,2024-08-28,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240828_1638593.htm
未披露,惠和年产100万套中高端家纺用品建设项目,2024-08-27,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240919_1648871.htm
南通天洲精密机械有限公司,南通天洲精密机械有限公司年产80万件中高端自行车零部件项目,2024-08-22,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240826_1636918.htm
未披露,江苏当升锂电正极材料生产基地正极材料废水零排放技改项目,2024-08-22,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240826_1637694.htm
未披露,年产1000万件冻存管新建项目,2024-08-19,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240819_1633325.htm
南堰鸿途城市更新有限公司,海门区E4地块城市更新项目,2022-12-02,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202409/t20240909_1644520.htm
未披露,南通市海门区张謇小学项目,2024-08-16,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240821_1635217.htm
江苏万高药业股份有限公司,江苏万高药业股份有限公司食堂扩建项目,2024-08-16,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240816_1632838.htm
赐宝新型薄板（江苏）有限公司,赐宝新型薄板（江苏）有限公司高磁感取向电工钢、硅钢片技改项目,2024-08-15,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240815_1632011.htm
江苏宣泰药业有限公司,江苏宣泰药业有限公司生活楼改扩建项目,2024-08-14,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240814_1631447.htm
未披露,南通謇公220KV输变站工程,2024-07-18,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202408/t20240805_1626256.htm
江苏阳意输配电设备有限公司,江苏阳意输配电设备有限公司年产2400台智能电动轮、20万根阀厅棒电阻、100套智能阀厅净水装置等新建项目（变更）,2024-07-16,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202407/t20240716_1616345.htm
未披露,R23014地块项目,2024-07-11,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202407/t20240717_1616989.htm
江苏华睿置业有限公司,江苏华睿置业有限公司建筑装饰产业园项目,2024-07-11,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202407/t20240715_1615834.htm
江苏慧达药业有限公司,江苏慧达药业有限公司高端制剂研发、转化及制造一体化平台项目,2024-06-28,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202406/t20240628_1605952.htm
江苏慧达药业有限公司,江苏慧达药业有限公司高端制剂研发、转化及制造一体化平台项目,2024-06-25,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202407/t20240717_1616992.htm
江苏梦百合仓储服务有限公司,江苏梦百合仓储服务有限公司年产100万套家纺用品建设项目,2024-05-31,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202406/t20240605_1593672.htm
江苏叠石桥银云储运管理有限公司,叠石桥智慧云产储一体化项目（桃永河东侧）,2024-05-29,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202406/t20240603_1592413.htm
未披露,海门区CR22016项目,2024-05-28,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202407/t20240715_1615835.htm
未披露,年产3亿支吸入制剂创新药和高端仿制药项目,2024-05-27,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202405/t20240527_1588516.htm
未披露,增建垃圾回收房,2024-05-24,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202405/t20240524_1587727.htm
未披露,年产2000万套汽车、航空发动机零部件及配件新建项目,2024-05-10,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202405/t20240510_1580541.htm
未披露,南通市海门区富江南苑北区项目,2024-05-09,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202405/t20240509_1579385.htm
未披露,南通市海门区三厂弘謇新村安置房项目,2024-05-07,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202405/t20240507_1578315.htm
未披露,海门长江新村207幢4单元加装电梯工程项目,2024-04-25,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202404/t20240425_1573712.htm
